ONTOLOGIES,version,,,,,,,,,
semantic integrated science,http://semanticscience.org/ontology/sio.owl,,,,,,,,,
,,,,smoking,causes,lung cancer,,,,
Study Protocol Version,document version,http://semanticscience.org/resource/SIO_000186,is_identifier_for,http://semanticscience.org/resource/SIO_000672,experimental protocol,experimental protocol,,,,
Study Protocol Parameter,parameter,http://semanticscience.org/resource/SIO_000144,is part of,http://semanticscience.org/resource/SIO_000068,experimental protocol,experimental protocol,,,,
Study Protocol Parameters Name,name,http://semanticscience.org/resource/SIO_000116,is_attribute_of,http://semanticscience.org/resource/SIO_000011,parameter,parameter,,,,
Study Protocol Component,device or software entity,http://semanticscience.org/resource/SIO_000956 or http://semanticscience.org/resource/SIO_000097,is participant in,http://semanticscience.org/resource/SIO_000062,procedure,procedure,,,,
Study Protocol Components Name,name,http://semanticscience.org/resource/SIO_000116,is_attribute_of,http://semanticscience.org/resource/SIO_000011,device or software entity,http://semanticscience.org/resource/SIO_000956 or http://semanticscience.org/resource/SIO_000097,,,,
Study Protocol Components Type,,,,,,,,,,
,,,,,,,,,,
Source,material entity or biological entity,http://semanticscience.org/resource/SIO_000004 or http://semanticscience.org/resource/SIO_010046,is member of,http://semanticscience.org/resource/SIO_000095,study group,,,,,
Source Name,name,http://semanticscience.org/resource/SIO_000116,is_attribute_of,http://semanticscience.org/resource/SIO_000011,material entity,,,,,
{Sample|Extract|Labeled Extract},processed material,http://purl.obolibrary.org/obo/OBI_0000047,,,,,,,,
{Sample Name|Extract Name|Labeled Extract Name},name,http://semanticscience.org/resource/SIO_000116,is_attribute_of,http://semanticscience.org/resource/SIO_000011,material entity,{Sample|Extract|Labeled Extract},,,,
Characteristics,attribute,http://semanticscience.org/resource/SIO_000614,is_attribute_of,http://semanticscience.org/resource/SIO_000011,material entity,,,,,
{Source|Sample|Extract|Labeled Extract},,,has quality,http://purl.obolibrary.org/obo/BFO_0000086,characterisitics,Characteristics,,,,
,,,,,,,,,,
Study Protocol REF,sampling,http://semanticscience.org/resource/SIO_001049,,,,,,,,
Assay Protocol REF,procedure and (assay or data transformation or sampling),(http://semanticscience.org/resource/SIO_000999 and (http://semanticscience.org/resource/SIO_001007 or http://semanticscience.org/resource/SIO_000594)),,,,,,,,
Study Protocol REF Input,,,is input in ,http://semanticscience.org/resource/SIO_000231,procedure,Study Protocol REF,,,,
Study Protocol REF Output,,,is output of ,http://semanticscience.org/resource/SIO_000232,procedure,Study Protocol REF,derives from,http://purl.obolibrary.org/obo/RO_0001000,input,Protocol REF Input
Assay Protocol REF Input,,,is input in ,http://semanticscience.org/resource/SIO_000231,assay,Assay Protocol REF,,,,
Assay Protocol REF Output,,,is output of ,http://semanticscience.org/resource/SIO_000232,assay,Assay Protocol REF,,,,
Parameter Value[],,,is parameter in,http://semanticscience.org/resource/SIO_000553,procedure,,,,,
Parameter Value[instrument],device,http://semanticscience.org/resource/SIO_000956,is participant in,http://semanticscience.org/resource/SIO_000062,study design execution,Study Design Execution,,,,
Parameter Value[software],software entity, http://semanticscience.org/resource/SIO_000097,is participant in,http://semanticscience.org/resource/SIO_000062,procedure,,,,,
Unit,unit of measurement,http://semanticscience.org/resource/SIO_000074,,,,,,,,
Date,start time,http://semanticscience.org/resource/SIO_000031,,,,,,,,
Performer,person,http://semanticscience.org/resource/SIO_000498,,,,,,,,
,,,,,,,,,,
Study Group,,,,,,,,,,
study group,study group,http://semanticscience.org/resource/SIO_000403,is participant in,http://semanticscience.org/resource/SIO_000062,investigation,,,,,
,,,,,,,,,,
,,,,,,,,,,
Label,,,,,,,,,,
,,,,,,,,,,
Assay Name,name,http://semanticscience.org/resource/SIO_000116,is_attribute_of,http://semanticscience.org/resource/SIO_000011,study assay,Study Assay,,,,
Array Design REF,,,,,,,,,,
